,0,1,2,3,4,5,6,7,8,9
KNN,0.888888888889,0.865079365079,0.848,0.728,0.84,0.848,0.84,0.752,0.848,0.808
SVM,0.873015873016,0.833333333333,0.848,0.816,0.84,0.84,0.84,0.776,0.84,0.728
MLP,0.849206349206,0.777777777778,0.784,0.776,0.776,0.768,0.808,0.68,0.736,0.624
RF,0.936507936508,0.936507936508,0.936,0.888,0.896,0.92,0.944,0.848,0.92,0.912
LR,0.714285714286,0.746031746032,0.632,0.648,0.696,0.64,0.608,0.544,0.616,0.568
ET,0.944444444444,0.928571428571,0.936,0.904,0.888,0.912,0.944,0.872,0.928,0.904
