,0,1,2,3,4,5,6,7,8,9
KNN,0.880952380952,0.880952380952,0.84,0.712,0.88,0.808,0.856,0.728,0.888,0.784
SVM,0.793650793651,0.738095238095,0.816,0.776,0.736,0.784,0.76,0.72,0.752,0.616
MLP,0.738095238095,0.833333333333,0.728,0.736,0.808,0.72,0.712,0.656,0.728,0.672
RF,0.912698412698,0.936507936508,0.88,0.848,0.912,0.888,0.952,0.856,0.952,0.872
LR,0.690476190476,0.68253968254,0.584,0.688,0.648,0.632,0.656,0.528,0.584,0.6
ET,0.952380952381,0.928571428571,0.928,0.92,0.944,0.944,0.952,0.896,0.96,0.92
