,0,1,2,3,4,5,6,7,8,9
KNN,0.785714285714,0.761904761905,0.808,0.648,0.776,0.816,0.824,0.648,0.76,0.704
SVM,0.706349206349,0.642857142857,0.68,0.624,0.624,0.696,0.624,0.632,0.68,0.512
MLP,0.738095238095,0.753968253968,0.68,0.688,0.744,0.688,0.616,0.664,0.624,0.576
RF,0.920634920635,0.928571428571,0.88,0.864,0.888,0.936,0.912,0.816,0.96,0.864
LR,0.690476190476,0.722222222222,0.64,0.624,0.672,0.688,0.656,0.672,0.696,0.616
ET,0.936507936508,0.960317460317,0.944,0.896,0.904,0.928,0.944,0.856,0.92,0.896
