,0,1,2,3,4,5,6,7,8,9
KNN,0.809523809524,0.809523809524,0.744,0.768,0.816,0.832,0.768,0.76,0.768,0.712
SVM,0.785714285714,0.714285714286,0.752,0.744,0.696,0.744,0.672,0.704,0.776,0.6
MLP,0.714285714286,0.722222222222,0.736,0.656,0.72,0.672,0.696,0.664,0.688,0.688
RF,0.944444444444,0.920634920635,0.872,0.84,0.888,0.904,0.944,0.88,0.88,0.816
LR,0.603174603175,0.634920634921,0.584,0.64,0.616,0.632,0.624,0.592,0.584,0.592
ET,0.920634920635,0.944444444444,0.928,0.92,0.904,0.936,0.936,0.904,0.92,0.872
