,0,1,2,3,4,5,6,7,8,9
KNN,0.730158730159,0.619047619048,0.576,0.552,0.656,0.728,0.52,0.688,0.576,0.568
SVM,0.587301587302,0.515873015873,0.584,0.472,0.56,0.608,0.536,0.584,0.584,0.472
MLP,0.666666666667,0.547619047619,0.504,0.544,0.592,0.64,0.56,0.512,0.544,0.512
RF,0.857142857143,0.857142857143,0.904,0.808,0.808,0.872,0.784,0.808,0.864,0.784
LR,0.611111111111,0.587301587302,0.44,0.6,0.632,0.656,0.496,0.512,0.528,0.512
ET,0.920634920635,0.888888888889,0.904,0.824,0.872,0.92,0.896,0.848,0.888,0.84
