,0,1,2,3,4,5,6,7,8,9
KNN,0.793650793651,0.81746031746,0.808,0.736,0.76,0.744,0.712,0.744,0.744,0.672
SVM,0.833333333333,0.793650793651,0.84,0.776,0.768,0.848,0.8,0.808,0.832,0.752
MLP,0.761904761905,0.753968253968,0.752,0.68,0.728,0.712,0.656,0.672,0.672,0.624
RF,0.920634920635,0.904761904762,0.928,0.848,0.904,0.888,0.848,0.864,0.912,0.84
LR,0.619047619048,0.619047619048,0.568,0.584,0.64,0.624,0.584,0.552,0.568,0.536
ET,0.912698412698,0.920634920635,0.92,0.888,0.888,0.912,0.936,0.896,0.896,0.872
