,0,1,2,3,4,5,6,7,8,9
KNN,0.746031746032,0.746031746032,0.809523809524,0.784,0.8,0.776,0.76,0.784,0.68,0.856
SVM,0.793650793651,0.738095238095,0.68253968254,0.736,0.672,0.696,0.752,0.744,0.68,0.712
MLP,0.801587301587,0.674603174603,0.761904761905,0.712,0.696,0.72,0.784,0.736,0.648,0.736
RF,0.785714285714,0.690476190476,0.84126984127,0.744,0.896,0.736,0.76,0.816,0.76,0.752
LR,0.626984126984,0.547619047619,0.539682539683,0.632,0.528,0.536,0.616,0.584,0.624,0.576
ET,0.849206349206,0.706349206349,0.865079365079,0.856,0.896,0.824,0.784,0.784,0.784,0.824
