,0,1,2,3,4,5,6,7,8,9
KNN,0.619047619048,0.626984126984,0.603174603175,0.616,0.64,0.608,0.664,0.608,0.552,0.648
SVM,0.650793650794,0.650793650794,0.65873015873,0.72,0.656,0.56,0.68,0.632,0.696,0.648
MLP,0.626984126984,0.642857142857,0.642857142857,0.64,0.704,0.584,0.688,0.616,0.64,0.552
RF,0.650793650794,0.579365079365,0.738095238095,0.736,0.728,0.616,0.68,0.64,0.704,0.704
LR,0.460317460317,0.515873015873,0.468253968254,0.48,0.512,0.512,0.536,0.512,0.56,0.512
ET,0.769841269841,0.68253968254,0.738095238095,0.792,0.816,0.776,0.752,0.728,0.744,0.768
