,0,1,2,3,4,5,6,7,8,9
444-ET,0.865079365079,0.793650793651,0.833333333333,0.856,0.896,0.864,0.88,0.832,0.808,0.816
888-ET,0.849206349206,0.706349206349,0.865079365079,0.856,0.896,0.824,0.784,0.784,0.784,0.824
161616-ET,0.769841269841,0.68253968254,0.738095238095,0.792,0.816,0.776,0.752,0.728,0.744,0.768
