,0,1,2,3,4,5,6,7,8,9
KNN,0.84126984127,0.81746031746,0.753968253968,0.824,0.816,0.792,0.816,0.792,0.768,0.792
SVM,0.825396825397,0.801587301587,0.690476190476,0.752,0.728,0.656,0.784,0.72,0.76,0.68
MLP,0.730158730159,0.793650793651,0.722222222222,0.776,0.752,0.792,0.784,0.832,0.736,0.696
RF,0.785714285714,0.698412698413,0.746031746032,0.68,0.816,0.856,0.816,0.784,0.768,0.776
LR,0.706349206349,0.666666666667,0.626984126984,0.624,0.64,0.536,0.616,0.56,0.68,0.648
ET,0.865079365079,0.793650793651,0.833333333333,0.856,0.896,0.864,0.88,0.832,0.808,0.816
