,0,1,2,3,4,5,6,7,8,9
Deep-Resnet-LR-Without,0.944881889764,0.944881889764,0.968503937008,0.929133858268,0.936507936508,0.912698412698,0.97619047619,0.952380952381,0.936507936508,0.952380952381
Deep-Resnet-SVM-With,0.9603174603,0.9841269841,0.968,0.952,0.936,0.968,0.976,0.944,0.992,0.976
Haralick-ET-Without,0.929133858268,0.874015748031,0.905511811024,0.88188976378,0.904761904762,0.873015873016,0.928571428571,0.873015873016,0.896825396825,0.904761904762
HOG-ET-With,0.944444444444,0.984126984127,0.96,0.944,0.952,0.952,0.968,0.928,0.944,0.968
444-ET-Without,0.936507936508,0.97619047619,0.912698412698,0.936,0.952,0.936,0.976,0.912,0.904,0.888
444-ET-With,0.865079365079,0.793650793651,0.833333333333,0.856,0.896,0.864,0.88,0.832,0.808,0.816
