,0,1,2,3,4,5,6,7,8,9
KNN,0.873015873016,0.873015873016,0.769841269841,0.856,0.856,0.824,0.84,0.824,0.784,0.816
SVM,0.880952380952,0.944444444444,0.833333333333,0.872,0.888,0.856,0.848,0.84,0.872,0.856
MLP,0.785714285714,0.793650793651,0.753968253968,0.832,0.832,0.688,0.72,0.656,0.752,0.816
RF,0.928571428571,0.968253968254,0.904761904762,0.936,0.936,0.888,0.896,0.896,0.896,0.888
LR,0.714285714286,0.666666666667,0.650793650794,0.616,0.648,0.528,0.64,0.552,0.664,0.648
ET,0.936507936508,0.97619047619,0.912698412698,0.936,0.952,0.936,0.976,0.912,0.904,0.888
