,0,1,2,3,4,5,6,7,8,9
KNN,0.730158730159,0.888888888889,0.738095238095,0.808,0.704,0.736,0.808,0.784,0.712,0.808
SVM,0.849206349206,0.912698412698,0.825396825397,0.888,0.808,0.856,0.792,0.8,0.776,0.848
MLP,0.777777777778,0.730158730159,0.698412698413,0.76,0.776,0.648,0.752,0.752,0.744,0.728
RF,0.904761904762,0.97619047619,0.888888888889,0.896,0.936,0.896,0.904,0.904,0.872,0.928
LR,0.634920634921,0.579365079365,0.539682539683,0.64,0.536,0.52,0.632,0.568,0.64,0.576
ET,0.928571428571,0.944444444444,0.928571428571,0.912,0.944,0.912,0.912,0.896,0.872,0.896
