,0,1,2,3,4,5,6,7,8,9
KNN,0.653543307087,0.614173228346,0.543307086614,0.606299212598,0.634920634921,0.539682539683,0.65873015873,0.579365079365,0.579365079365,0.595238095238
SVM,0.779527559055,0.755905511811,0.732283464567,0.795275590551,0.81746031746,0.690476190476,0.753968253968,0.785714285714,0.785714285714,0.634920634921
MLP,0.779527559055,0.771653543307,0.732283464567,0.818897637795,0.769841269841,0.722222222222,0.730158730159,0.769841269841,0.746031746032,0.690476190476
RF,0.661417322835,0.590551181102,0.661417322835,0.574803149606,0.587301587302,0.52380952381,0.68253968254,0.634920634921,0.587301587302,0.555555555556
LR,0.740157480315,0.740157480315,0.732283464567,0.795275590551,0.761904761905,0.666666666667,0.706349206349,0.769841269841,0.730158730159,0.65873015873
ET,0.811023622047,0.755905511811,0.724409448819,0.755905511811,0.738095238095,0.68253968254,0.722222222222,0.674603174603,0.722222222222,0.666666666667
