,0,1,2,3,4,5,6,7,8,9
KNN,0.511811023622,0.51968503937,0.527559055118,0.622047244094,0.452380952381,0.539682539683,0.52380952381,0.436507936508,0.52380952381,0.595238095238
SVM,0.614173228346,0.677165354331,0.637795275591,0.645669291339,0.619047619048,0.579365079365,0.587301587302,0.603174603175,0.674603174603,0.626984126984
MLP,0.448818897638,0.488188976378,0.44094488189,0.393700787402,0.404761904762,0.357142857143,0.484126984127,0.396825396825,0.380952380952,0.357142857143
RF,0.889763779528,0.811023622047,0.826771653543,0.850393700787,0.873015873016,0.825396825397,0.896825396825,0.857142857143,0.825396825397,0.865079365079
LR,0.535433070866,0.496062992126,0.527559055118,0.496062992126,0.547619047619,0.404761904762,0.507936507937,0.460317460317,0.420634920635,0.52380952381
ET,0.929133858268,0.874015748031,0.905511811024,0.88188976378,0.904761904762,0.873015873016,0.928571428571,0.873015873016,0.896825396825,0.904761904762
