,0,1,2,3,4,5,6,7,8,9
KNN,0.857142857143,0.730158730159,0.824,0.76,0.816,0.872,0.84,0.824,0.872,0.872
RF,0.81746031746,0.809523809524,0.792,0.808,0.808,0.8,0.872,0.768,0.896,0.832
SVM,0.944444444444,0.944444444444,0.912,0.92,0.904,0.936,0.96,0.88,0.96,0.944
LR,0.904761904762,0.944444444444,0.936,0.928,0.896,0.936,0.96,0.896,0.952,0.92
MLP,0.928571428571,0.936507936508,0.92,0.904,0.896,0.936,0.952,0.864,0.952,0.936
ET,0.873015873016,0.888888888889,0.856,0.856,0.856,0.888,0.896,0.832,0.92,0.864
