,0,1,2,3,4,5,6,7,8,9
KNN,0.896825396825,0.920634920635,0.88,0.848,0.864,0.92,0.912,0.848,0.896,0.88
RF,0.873015873016,0.944444444444,0.888,0.872,0.84,0.912,0.92,0.88,0.936,0.8
SVM,0.968253968254,0.968253968254,0.96,0.944,0.92,0.96,0.96,0.92,1.0,0.944
LR,0.944444444444,0.936507936508,0.936,0.928,0.912,0.936,0.952,0.912,0.944,0.848
MLP,0.944444444444,0.944444444444,0.92,0.928,0.888,0.896,0.936,0.896,0.984,0.872
ET,0.920634920635,0.952380952381,0.92,0.904,0.88,0.944,0.96,0.896,0.984,0.896
