,0,1,2,3,4,5,6,7,8,9
KNN,0.920634920635,0.873015873016,0.896,0.896,0.896,0.952,0.944,0.824,0.96,0.832
RF,0.888888888889,0.904761904762,0.872,0.816,0.888,0.904,0.896,0.848,0.84,0.832
SVM,0.960317460317,0.97619047619,0.928,0.92,0.936,0.968,0.968,0.928,0.96,0.944
LR,0.968253968254,0.97619047619,0.936,0.936,0.912,0.976,0.968,0.936,0.984,0.936
MLP,0.952380952381,0.968253968254,0.928,0.944,0.92,0.976,0.96,0.928,0.96,0.944
ET,0.952380952381,0.960317460317,0.904,0.936,0.888,0.96,0.976,0.904,0.936,0.936
