,0,1,2,3,4,5,6,7,8,9
KNN,0.920634920635,0.952380952381,0.888,0.88,0.872,0.92,0.944,0.856,0.864,0.92
RF,0.904761904762,0.920634920635,0.904,0.912,0.872,0.912,0.904,0.856,0.896,0.888
SVM,0.960317460317,0.984126984127,0.968,0.952,0.936,0.968,0.976,0.944,0.992,0.976
LR,0.960317460317,0.97619047619,0.952,0.936,0.912,0.952,0.976,0.936,0.992,0.928
MLP,0.952380952381,0.97619047619,0.96,0.928,0.936,0.968,0.96,0.896,0.968,0.928
ET,0.920634920635,0.960317460317,0.904,0.904,0.888,0.968,0.952,0.888,0.952,0.928
