,0,1,2,3,4,5,6,7,8,9
KNN,0.896825396825,0.888888888889,0.896,0.848,0.856,0.856,0.912,0.808,0.912,0.896
RF,0.888888888889,0.873015873016,0.872,0.872,0.864,0.88,0.904,0.832,0.84,0.864
SVM,0.420634920635,0.468253968254,0.536,0.448,0.432,0.464,0.464,0.488,0.544,0.376
LR,0.960317460317,0.97619047619,0.96,0.952,0.936,0.96,0.968,0.936,0.976,0.928
MLP,0.960317460317,0.960317460317,0.944,0.952,0.92,0.968,0.936,0.896,0.96,0.936
ET,0.944444444444,0.936507936508,0.936,0.928,0.88,0.96,0.968,0.88,0.936,0.936
