,0,1,2,3,4,5,6,7,8,9
KNN,0.888888888889,0.873015873016,0.88,0.864,0.856,0.896,0.88,0.808,0.856,0.848
RF,0.920634920635,0.904761904762,0.92,0.88,0.888,0.904,0.952,0.88,0.848,0.824
SVM,0.293650793651,0.269841269841,0.368,0.328,0.328,0.352,0.352,0.368,0.4,0.256
LR,0.944444444444,0.952380952381,0.952,0.912,0.952,0.96,0.976,0.944,0.96,0.92
MLP,0.936507936508,0.936507936508,0.904,0.92,0.92,0.936,0.936,0.92,0.952,0.888
ET,0.960317460317,0.960317460317,0.96,0.936,0.944,0.96,0.968,0.896,0.968,0.952
