,0,1,2,3,4,5,6,7,8,9
KNN,0.888888888889,0.84126984127,0.84,0.856,0.816,0.856,0.856,0.864,0.776,0.856
RF,0.865079365079,0.888888888889,0.896,0.872,0.88,0.864,0.904,0.816,0.872,0.856
SVM,0.309523809524,0.277777777778,0.376,0.336,0.328,0.344,0.352,0.384,0.408,0.256
LR,0.920634920635,0.968253968254,0.904,0.936,0.928,0.96,0.976,0.952,0.976,0.944
MLP,0.920634920635,0.960317460317,0.888,0.912,0.888,0.968,0.912,0.92,0.96,0.912
ET,0.952380952381,0.952380952381,0.952,0.928,0.928,0.952,0.976,0.912,0.944,0.944
