,0,1,2,3,4,5,6,7,8,9
KNN,0.849206349206,0.920634920635,0.84,0.752,0.856,0.808,0.744,0.736,0.888,0.768
SVM,0.777777777778,0.777777777778,0.768,0.704,0.848,0.808,0.752,0.704,0.776,0.768
MLP,0.849206349206,0.880952380952,0.824,0.84,0.736,0.8,0.744,0.616,0.768,0.784
RF,0.801587301587,0.674603174603,0.872,0.68,0.824,0.768,0.808,0.76,0.784,0.76
LR,0.777777777778,0.547619047619,0.6,0.56,0.536,0.648,0.648,0.528,0.584,0.584
ET,0.912698412698,0.896825396825,0.864,0.784,0.928,0.872,0.824,0.792,0.856,0.856
