,0,1,2,3,4,5,6,7,8,9
KNN,0.833333333333,0.738095238095,0.784,0.784,0.712,0.776,0.736,0.712,0.832,0.776
SVM,0.753968253968,0.753968253968,0.768,0.752,0.816,0.728,0.728,0.648,0.696,0.68
MLP,0.825396825397,0.642857142857,0.76,0.728,0.752,0.752,0.68,0.656,0.704,0.712
RF,0.833333333333,0.722222222222,0.784,0.728,0.768,0.816,0.744,0.736,0.808,0.76
LR,0.68253968254,0.674603174603,0.704,0.6,0.656,0.632,0.584,0.584,0.616,0.552
ET,0.888888888889,0.849206349206,0.832,0.848,0.84,0.84,0.768,0.832,0.832,0.768
