,0,1,2,3,4,5,6,7,8,9
KNN,0.690476190476,0.571428571429,0.672,0.592,0.624,0.656,0.464,0.576,0.64,0.624
SVM,0.761904761905,0.666666666667,0.616,0.632,0.656,0.704,0.56,0.576,0.616,0.552
MLP,0.674603174603,0.603174603175,0.632,0.648,0.688,0.664,0.52,0.576,0.624,0.584
RF,0.714285714286,0.571428571429,0.704,0.544,0.616,0.704,0.56,0.632,0.752,0.608
LR,0.484126984127,0.484126984127,0.424,0.472,0.576,0.504,0.424,0.496,0.488,0.408
ET,0.777777777778,0.595238095238,0.784,0.584,0.664,0.76,0.672,0.672,0.776,0.736
