,0,1,2,3,4,5,6,7,8,9
KNN,0.825396825397,0.833333333333,0.776,0.672,0.792,0.84,0.624,0.688,0.808,0.808
SVM,0.849206349206,0.603174603175,0.752,0.6,0.84,0.824,0.648,0.672,0.824,0.752
MLP,0.753968253968,0.865079365079,0.744,0.744,0.696,0.736,0.72,0.712,0.8,0.752
RF,0.825396825397,0.706349206349,0.848,0.648,0.776,0.848,0.704,0.736,0.76,0.728
LR,0.690476190476,0.626984126984,0.688,0.648,0.744,0.672,0.624,0.624,0.672,0.648
ET,0.928571428571,0.825396825397,0.888,0.744,0.896,0.928,0.816,0.752,0.896,0.872
