,0,1,2,3,4,5,6,7,8,9
KNN,0.793650793651,0.801587301587,0.76,0.672,0.784,0.76,0.6,0.68,0.664,0.688
SVM,0.849206349206,0.84126984127,0.736,0.752,0.776,0.816,0.744,0.728,0.848,0.728
MLP,0.68253968254,0.833333333333,0.76,0.8,0.728,0.712,0.72,0.704,0.824,0.776
RF,0.777777777778,0.666666666667,0.744,0.576,0.744,0.752,0.608,0.728,0.792,0.704
LR,0.761904761905,0.761904761905,0.688,0.656,0.712,0.784,0.64,0.608,0.672,0.632
ET,0.880952380952,0.793650793651,0.808,0.64,0.816,0.872,0.792,0.768,0.84,0.768
