,0,1,2,3,4,5,6,7,8,9
KNN,0.484126984127,0.571428571429,0.544,0.552,0.624,0.528,0.584,0.52,0.576,0.584
SVM,0.68253968254,0.68253968254,0.56,0.72,0.632,0.624,0.608,0.664,0.68,0.672
MLP,0.373015873016,0.246031746032,0.424,0.368,0.304,0.328,0.384,0.32,0.328,0.248
RF,0.888888888889,0.936507936508,0.944,0.88,0.872,0.872,0.832,0.888,0.92,0.856
LR,0.412698412698,0.444444444444,0.472,0.536,0.552,0.448,0.488,0.464,0.472,0.416
ET,0.936507936508,0.960317460317,0.952,0.904,0.872,0.936,0.936,0.904,0.952,0.92
