,0,1,2,3,4,5,6,7,8,9
KNN,0.81746031746,0.84126984127,0.792,0.776,0.84,0.816,0.872,0.792,0.776,0.808
SVM,0.920634920635,0.904761904762,0.936,0.92,0.936,0.92,0.952,0.904,0.936,0.912
MLP,0.880952380952,0.928571428571,0.92,0.936,0.936,0.928,0.96,0.912,0.928,0.912
RF,0.952380952381,0.952380952381,0.92,0.896,0.944,0.928,0.936,0.896,0.912,0.936
LR,0.928571428571,0.920634920635,0.92,0.936,0.912,0.92,0.96,0.912,0.928,0.888
ET,0.944444444444,0.984126984127,0.96,0.944,0.952,0.952,0.968,0.928,0.944,0.968
