,0,1,2,3,4,5,6,7,8,9
KNN,0.92125984252,0.818897637795,0.811023622047,0.92125984252,0.880952380952,0.84126984127,0.849206349206,0.801587301587,0.865079365079,0.873015873016
RF,0.889763779528,0.858267716535,0.834645669291,0.834645669291,0.809523809524,0.833333333333,0.873015873016,0.865079365079,0.81746031746,0.81746031746
SVM,0.937007874016,0.88188976378,0.905511811024,0.968503937008,0.920634920635,0.912698412698,0.920634920635,0.936507936508,0.952380952381,0.920634920635
LR,0.913385826772,0.874015748031,0.913385826772,0.968503937008,0.928571428571,0.873015873016,0.920634920635,0.920634920635,0.912698412698,0.904761904762
MLP,0.929133858268,0.88188976378,0.905511811024,0.968503937008,0.920634920635,0.896825396825,0.896825396825,0.912698412698,0.936507936508,0.928571428571
ET,0.929133858268,0.88188976378,0.858267716535,0.937007874016,0.880952380952,0.896825396825,0.888888888889,0.880952380952,0.873015873016,0.928571428571
