,0,1,2,3,4,5,6,7,8,9
KNN,0.897637795276,0.834645669291,0.818897637795,0.858267716535,0.84126984127,0.809523809524,0.880952380952,0.81746031746,0.833333333333,0.896825396825
RF,0.842519685039,0.787401574803,0.763779527559,0.803149606299,0.777777777778,0.706349206349,0.857142857143,0.785714285714,0.81746031746,0.738095238095
SVM,0.346456692913,0.393700787402,0.370078740157,0.338582677165,0.309523809524,0.301587301587,0.412698412698,0.261904761905,0.301587301587,0.277777777778
LR,0.944881889764,0.929133858268,0.913385826772,0.96062992126,0.904761904762,0.880952380952,0.960317460317,0.928571428571,0.920634920635,0.928571428571
MLP,0.952755905512,0.913385826772,0.905511811024,0.952755905512,0.904761904762,0.888888888889,0.904761904762,0.912698412698,0.873015873016,0.888888888889
ET,0.913385826772,0.897637795276,0.88188976378,0.929133858268,0.904761904762,0.880952380952,0.920634920635,0.896825396825,0.857142857143,0.928571428571
