,0,1,2,3,4,5,6,7,8,9
Densenet-ET,0.913385826772,0.913385826772,0.92125984252,0.944881889764,0.912698412698,0.912698412698,0.896825396825,0.880952380952,0.936507936508,0.912698412698
Googlenet-ET,0.952755905512,0.929133858268,0.905511811024,0.968503937008,0.912698412698,0.896825396825,0.920634920635,0.904761904762,0.920634920635,0.936507936508
Inception-LR,0.92125984252,0.913385826772,0.92125984252,0.929133858268,0.920634920635,0.904761904762,0.936507936508,0.944444444444,0.928571428571,0.944444444444
Overfeat-SVM,0.937007874016,0.88188976378,0.905511811024,0.968503937008,0.920634920635,0.912698412698,0.920634920635,0.936507936508,0.952380952381,0.920634920635
Resnet-LR,0.944881889764,0.944881889764,0.968503937008,0.929133858268,0.936507936508,0.912698412698,0.97619047619,0.952380952381,0.936507936508,0.952380952381
VGG16-LR,0.913385826772,0.937007874016,0.905511811024,0.96062992126,0.904761904762,0.912698412698,0.912698412698,0.928571428571,0.904761904762,0.896825396825
VGG19-LR,0.944881889764,0.929133858268,0.913385826772,0.96062992126,0.904761904762,0.880952380952,0.960317460317,0.928571428571,0.920634920635,0.928571428571
Xception-LR,0.944881889764,0.929133858268,0.92125984252,0.92125984252,0.944444444444,0.936507936508,0.97619047619,0.920634920635,0.920634920635,0.936507936508
