,0,1,2,3,4,5,6,7,8,9
KNN,0.527559055118,0.535433070866,0.511811023622,0.425196850394,0.547619047619,0.460317460317,0.444444444444,0.5,0.484126984127,0.484126984127
RF,0.913385826772,0.889763779528,0.913385826772,0.929133858268,0.912698412698,0.857142857143,0.880952380952,0.873015873016,0.896825396825,0.880952380952
SVM,0.645669291339,0.645669291339,0.606299212598,0.622047244094,0.642857142857,0.571428571429,0.603174603175,0.531746031746,0.666666666667,0.515873015873
LR,0.937007874016,0.889763779528,0.88188976378,0.92125984252,0.857142857143,0.920634920635,0.865079365079,0.896825396825,0.896825396825,0.880952380952
MLP,0.952755905512,0.732283464567,0.88188976378,0.866141732283,0.865079365079,0.769841269841,0.865079365079,0.873015873016,0.896825396825,0.873015873016
ET,0.952755905512,0.929133858268,0.905511811024,0.968503937008,0.912698412698,0.896825396825,0.920634920635,0.904761904762,0.920634920635,0.936507936508
