,0,1,2,3,4,5,6,7,8,9
KNN,0.811023622047,0.842519685039,0.771653543307,0.755905511811,0.785714285714,0.761904761905,0.801587301587,0.777777777778,0.761904761905,0.849206349206
RF,0.842519685039,0.811023622047,0.826771653543,0.842519685039,0.84126984127,0.769841269841,0.84126984127,0.833333333333,0.84126984127,0.801587301587
SVM,0.338582677165,0.362204724409,0.338582677165,0.330708661417,0.293650793651,0.285714285714,0.412698412698,0.238095238095,0.269841269841,0.269841269841
LR,0.913385826772,0.937007874016,0.905511811024,0.96062992126,0.904761904762,0.912698412698,0.912698412698,0.928571428571,0.904761904762,0.896825396825
MLP,0.92125984252,0.913385826772,0.834645669291,0.905511811024,0.873015873016,0.912698412698,0.936507936508,0.920634920635,0.896825396825,0.873015873016
ET,0.913385826772,0.889763779528,0.889763779528,0.944881889764,0.888888888889,0.880952380952,0.904761904762,0.896825396825,0.857142857143,0.928571428571
