,0,1,2,3,4,5,6,7,8,9
KNN,0.850393700787,0.858267716535,0.803149606299,0.889763779528,0.84126984127,0.793650793651,0.873015873016,0.880952380952,0.809523809524,0.809523809524
SVM,0.354330708661,0.385826771654,0.370078740157,0.346456692913,0.31746031746,0.309523809524,0.420634920635,0.269841269841,0.293650793651,0.269841269841
MLP,0.59842519685,0.661417322835,0.700787401575,0.330708661417,0.619047619048,0.634920634921,0.626984126984,0.579365079365,0.531746031746,0.452380952381
RF,0.858267716535,0.858267716535,0.834645669291,0.88188976378,0.904761904762,0.896825396825,0.865079365079,0.896825396825,0.880952380952,0.857142857143
LR,0.889763779528,0.858267716535,0.88188976378,0.929133858268,0.952380952381,0.888888888889,0.920634920635,0.912698412698,0.896825396825,0.888888888889
ET,0.913385826772,0.913385826772,0.92125984252,0.944881889764,0.912698412698,0.912698412698,0.896825396825,0.880952380952,0.936507936508,0.912698412698
