,0,1,2,3,4,5,6,7,8,9
KNN,0.826771653543,0.842519685039,0.779527559055,0.850393700787,0.873015873016,0.793650793651,0.825396825397,0.801587301587,0.81746031746,0.904761904762
RF,0.842519685039,0.826771653543,0.771653543307,0.818897637795,0.81746031746,0.785714285714,0.825396825397,0.777777777778,0.785714285714,0.753968253968
SVM,0.362204724409,0.393700787402,0.377952755906,0.362204724409,0.31746031746,0.309523809524,0.444444444444,0.277777777778,0.325396825397,0.293650793651
LR,0.92125984252,0.913385826772,0.92125984252,0.929133858268,0.920634920635,0.904761904762,0.936507936508,0.944444444444,0.928571428571,0.944444444444
MLP,0.913385826772,0.913385826772,0.92125984252,0.944881889764,0.873015873016,0.904761904762,0.928571428571,0.920634920635,0.920634920635,0.873015873016
ET,0.905511811024,0.874015748031,0.858267716535,0.929133858268,0.896825396825,0.84126984127,0.920634920635,0.896825396825,0.849206349206,0.896825396825
