,0,1,2,3,4,5,6,7,8,9
KNN,0.566929133858,0.496062992126,0.448818897638,0.425196850394,0.444444444444,0.420634920635,0.507936507937,0.492063492063,0.452380952381,0.388888888889
RF,0.905511811024,0.905511811024,0.905511811024,0.897637795276,0.896825396825,0.865079365079,0.928571428571,0.857142857143,0.920634920635,0.912698412698
SVM,0.645669291339,0.763779527559,0.716535433071,0.787401574803,0.809523809524,0.785714285714,0.642857142857,0.761904761905,0.753968253968,0.642857142857
LR,0.944881889764,0.944881889764,0.968503937008,0.929133858268,0.936507936508,0.912698412698,0.97619047619,0.952380952381,0.936507936508,0.952380952381
MLP,0.96062992126,0.952755905512,0.937007874016,0.929133858268,0.944444444444,0.880952380952,0.968253968254,0.888888888889,0.928571428571,0.944444444444
ET,0.929133858268,0.952755905512,0.929133858268,0.96062992126,0.928571428571,0.912698412698,0.936507936508,0.904761904762,0.928571428571,0.968253968254
