,0,1,2,3,4,5,6,7,8,9
KNN,0.866141732283,0.92125984252,0.850393700787,0.874015748031,0.896825396825,0.880952380952,0.904761904762,0.833333333333,0.912698412698,0.84126984127
RF,0.850393700787,0.834645669291,0.826771653543,0.850393700787,0.730158730159,0.833333333333,0.825396825397,0.777777777778,0.865079365079,0.81746031746
SVM,0.913385826772,0.905511811024,0.913385826772,0.937007874016,0.928571428571,0.904761904762,0.936507936508,0.896825396825,0.928571428571,0.928571428571
LR,0.944881889764,0.929133858268,0.92125984252,0.92125984252,0.944444444444,0.936507936508,0.97619047619,0.920634920635,0.920634920635,0.936507936508
MLP,0.937007874016,0.937007874016,0.92125984252,0.929133858268,0.912698412698,0.896825396825,0.968253968254,0.896825396825,0.920634920635,0.904761904762
ET,0.913385826772,0.88188976378,0.858267716535,0.952755905512,0.896825396825,0.888888888889,0.912698412698,0.920634920635,0.865079365079,0.928571428571
